Salinity,pH,Sea water temperature,DO,TSS,Ammonium (NH₄⁺-N),Phosphate (PO₄³⁻-P),Fluoride (F⁻),Cyanide (CN⁻),As,Cd,Pb,Cr(VI),Total Chromium,Cu,Zn,Mn,Fe,Oil and Grease,label3
27.7,7.54,31.0,6.57,11.5,0.421,0.07,1.14,0.0025,0.006,0.0055,0.0072,0.026,0.033095792640519,0.017,0.68,0.042,0.1,0.52,1
29.3,7.32,30.4,6.75,11.0,0.088,0.046,1.1,0.0021,0.0055,0.0055,0.0072,0.021,0.0413145548951216,0.0041,0.055,0.064,0.12,0.5,1
17.6,7.35,30.8,6.32,13.9,0.109,0.042,1.4,0.0025,0.0076,0.0055,0.0072,0.026,0.0021901860991731,0.009,0.062,0.047,0.13,0.55,1
30.3,7.62,27.1,6.61,12.0,0.104,0.036,1.26,0.0021,0.0057,0.006,0.007,0.026,0.0077144668889027,0.0054,0.055,0.038,0.1,0.52,1
21.3,7.56,27.0,6.65,13.5,0.132,0.054,1.02,0.0021,0.0064,0.006,0.007,0.021,0.0276789423539297,0.008,0.6,0.044,0.07,0.42,1
28.2,7.59,30.1,6.09,12.1,0.119,0.042,0.47,0.0024,0.0053,0.0052,0.0072,0.024,0.0389191359345132,0.032,0.055,0.042,0.1,0.4,1
29.1,7.86,26.9,6.23,13.5,0.193,0.11,1.27,0.0025,0.0056,0.0055,0.007,0.021,0.0132934847794779,0.0054,0.6,0.045,0.12,0.45,1
26.6,7.45,27.2,6.21,12.5,0.19,0.044,0.95,0.0024,0.0039,0.006,0.006,0.021,0.0279603300769126,0.09,0.055,0.031,0.09,0.42,1
32.1,7.63,31.3,6.21,13.6,0.323,0.096,1.1,0.0024,0.0053,0.006,0.0072,0.027,0.0428306713739045,0.017,0.65,0.053,0.16,0.48,1
29.4,7.43,30.2,5.94,12.0,0.242,0.086,1.32,0.0028,0.0034,0.0055,0.007,0.026,0.0349853217051807,0.0041,0.6,0.047,0.12,0.45,1
22.9,7.56,28.3,6.17,19.5,0.596,0.116,0.93,0.0025,0.0061,0.0052,0.007,0.021,0.0246995162626849,0.0056,0.054,0.085,0.35,0.44,1
29.3,7.87,26.9,6.32,25.6,0.397,0.08,1.33,0.0024,0.004,0.006,0.008,0.027,0.0334201146693754,0.04,0.062,0.064,0.29,0.4,1
24.6,7.54,26.7,6.57,11.5,0.421,0.07,1.14,0.0025,0.006,0.006,0.0072,0.024,0.0218575740860205,0.017,0.68,0.042,0.1,0.52,1
22.9,7.32,28.5,6.75,11.0,0.088,0.046,1.1,0.0025,0.0055,0.0055,0.008,0.021,0.0011401924112913,0.0041,0.68,0.042,0.12,0.5,1
31.3,7.63,30.5,6.84,7.1,0.16,0.068,0.6,0.0028,0.0037,0.006,0.006,0.021,0.0069876171928413,0.0056,0.036,0.034,0.22,0.57,1
